ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,350,38,12,0.875,0.095,0.030
2,388,0,12,0.970,0.000,0.030
3,376,12,12,0.940,0.030,0.030
4,319,69,12,0.797,0.172,0.030
5,388,0,12,0.970,0.000,0.030
6,374,14,12,0.935,0.035,0.030
7,325,63,12,0.812,0.158,0.030
8,346,42,12,0.865,0.105,0.030
9,377,11,12,0.943,0.028,0.030
10,301,87,12,0.752,0.217,0.030
11,330,58,12,0.825,0.145,0.030
12,310,78,12,0.775,0.195,0.030
13,319,69,12,0.797,0.172,0.030
14,353,35,12,0.882,0.087,0.030
15,355,33,12,0.887,0.083,0.030
16,388,0,12,0.970,0.000,0.030
17,320,68,12,0.800,0.170,0.030
18,352,36,12,0.880,0.090,0.030
19,321,67,12,0.802,0.168,0.030
20,336,52,12,0.840,0.130,0.030
21,326,62,12,0.815,0.155,0.030
22,336,52,12,0.840,0.130,0.030
23,336,52,12,0.840,0.130,0.030
24,357,31,12,0.892,0.077,0.030
25,359,29,12,0.897,0.072,0.030
26,318,70,12,0.795,0.175,0.030
27,388,0,12,0.970,0.000,0.030
28,333,55,12,0.833,0.138,0.030
29,311,77,12,0.777,0.193,0.030
30,350,38,12,0.875,0.095,0.030
31,327,61,12,0.818,0.152,0.030
32,388,0,12,0.970,0.000,0.030
33,356,32,12,0.890,0.080,0.030
34,352,36,12,0.880,0.090,0.030
35,388,0,12,0.970,0.000,0.030
36,292,96,12,0.730,0.240,0.030
37,318,70,12,0.795,0.175,0.030
38,388,0,12,0.970,0.000,0.030
39,365,23,12,0.912,0.058,0.030
40,388,0,12,0.970,0.000,0.030
41,354,34,12,0.885,0.085,0.030
42,328,60,12,0.820,0.150,0.030
43,323,65,12,0.807,0.163,0.030
44,388,0,12,0.970,0.000,0.030
45,289,99,12,0.723,0.247,0.030
46,388,0,12,0.970,0.000,0.030
47,359,29,12,0.897,0.072,0.030
48,324,64,12,0.810,0.160,0.030
49,388,0,12,0.970,0.000,0.030
50,315,73,12,0.787,0.182,0.030
51,306,82,12,0.765,0.205,0.030
52,323,65,12,0.807,0.163,0.030
53,320,68,12,0.800,0.170,0.030
54,310,78,12,0.775,0.195,0.030
55,357,31,12,0.892,0.077,0.030
56,355,33,12,0.887,0.083,0.030
57,388,0,12,0.970,0.000,0.030
58,364,24,12,0.910,0.060,0.030
59,363,25,12,0.907,0.062,0.030
60,388,0,12,0.970,0.000,0.030
61,361,27,12,0.902,0.068,0.030
62,347,41,12,0.868,0.102,0.030
63,367,21,12,0.917,0.052,0.030
64,336,52,12,0.840,0.130,0.030
65,331,57,12,0.828,0.142,0.030
66,335,53,12,0.838,0.133,0.030
67,371,17,12,0.927,0.043,0.030
68,388,0,12,0.970,0.000,0.030
69,362,26,12,0.905,0.065,0.030
70,353,35,12,0.882,0.087,0.030
71,344,44,12,0.860,0.110,0.030
72,341,47,12,0.853,0.117,0.030
73,388,0,12,0.970,0.000,0.030
74,310,78,12,0.775,0.195,0.030
75,388,0,12,0.970,0.000,0.030
76,356,32,12,0.890,0.080,0.030
77,376,12,12,0.940,0.030,0.030
78,311,77,12,0.777,0.193,0.030
79,350,38,12,0.875,0.095,0.030
80,360,28,12,0.900,0.070,0.030
81,354,34,12,0.885,0.085,0.030
82,353,35,12,0.882,0.087,0.030
83,349,39,12,0.873,0.098,0.030
84,299,89,12,0.748,0.223,0.030
85,376,12,12,0.940,0.030,0.030
86,350,38,12,0.875,0.095,0.030
87,315,73,12,0.787,0.182,0.030
88,304,84,12,0.760,0.210,0.030
89,305,83,12,0.762,0.207,0.030
90,382,6,12,0.955,0.015,0.030
91,301,87,12,0.752,0.217,0.030
92,358,30,12,0.895,0.075,0.030
93,388,0,12,0.970,0.000,0.030
94,388,0,12,0.970,0.000,0.030
95,307,81,12,0.767,0.203,0.030
96,388,0,12,0.970,0.000,0.030
97,302,86,12,0.755,0.215,0.030
98,341,47,12,0.853,0.117,0.030
99,357,31,12,0.892,0.077,0.030
100,349,39,12,0.873,0.098,0.030
101,348,40,12,0.870,0.100,0.030
102,314,74,12,0.785,0.185,0.030
103,311,77,12,0.777,0.193,0.030
104,301,87,12,0.752,0.217,0.030
105,388,0,12,0.970,0.000,0.030
106,322,66,12,0.805,0.165,0.030
107,338,50,12,0.845,0.125,0.030
108,356,32,12,0.890,0.080,0.030
109,313,75,12,0.782,0.188,0.030
110,301,87,12,0.752,0.217,0.030
111,346,42,12,0.865,0.105,0.030
112,350,38,12,0.875,0.095,0.030
113,388,0,12,0.970,0.000,0.030
114,281,107,12,0.703,0.268,0.030
115,329,59,12,0.823,0.147,0.030
116,332,56,12,0.830,0.140,0.030
117,388,0,12,0.970,0.000,0.030
118,323,65,12,0.807,0.163,0.030
119,307,81,12,0.767,0.203,0.030
120,388,0,12,0.970,0.000,0.030
